,0,1
2624,102440.png,"{\times}\int{d^{3}x\:\mbox{tr}\Bigl[(\partial_{j}A_{k}+A_{j}A_{k})(\partial_{i}f\, g-\partial_{i}g\, f)+\partial_{i}(A_{j}A_{k})\Bigl(\frac{1}{1+\mu}\,fg-\frac{\mu}{1+\mu}\,gf\Bigr)\Bigr]}.
"
2625,102441.png,"<<X>>\equiv \int DADbDcD\overline{c}X\exp \left\{ iS_{eff}+\varepsilon \int d^{4}xO[A]+i\int d^{4}x\; JA\right\}
"
2626,102442.png,"\nabla_{k}(A)\nabla^{k}(A) A^{0} = 0\;, {\bf x} \in V \subset {\bf R}^{3}
"
2627,102443.png,"e_i{}^j \otimes e_j{}^i = (e_i{}^j)^T \otimes (e_j{}^i)^T, 
"
2628,102444.png,"\bar \Phi =c_0(\sin \frac \vartheta 2)^m(\cos \frac \vartheta2)^me^{i(m\varphi -Et)}\left(\begin{array}{c}c(\cos \frac \vartheta 2)P_n^{(m-1/2,m+1/2)}A(r) \\c(\sin \frac \vartheta 2)P_n^{(m+1/2,m-1/2)}A(r) \\(\cos \frac \vartheta 2)P_n^{(m-1/2,m+1/2)}B(r) \\-(\sin \frac \vartheta 2)P_n^{(m+1/2,m-1/2)}B(r)\end{array}\right)
"
2629,102445.png,"\widehat{\phi}(x^1,x^2)=\overline{\phi}\equiv \phi_*(1-|0\rangle\langle 0|)\sim \phi_*(1-2e^{-r^2/\theta}). 
"
2630,102446.png,"\frac{dim \hat E}{dimE} = |det(A)|^{-1/2} \, .
"
2631,102447.png,"K_{n=1+2s}=\frac{1}{4^{s}\left(  s!\right)  ^{2}} %
"
2632,102448.png,"B_{MN}=(B_{\mu\nu},\,B_{4\mu})\hspace{1cm}\mu,\nu=0,\dots,3
"
2633,102449.png,"\xi=\frac{1}{\sqrt{2}}(a+a^{\dagger}), \hspace{1.0in}{\widetilde \xi}=\frac{i}{\sqrt{2}}(a-a^{\dagger}),
"
2634,10245.png,"\left[i\partial \!\!\!/ + eA\!\!\!/\right]\psi(x)=0.
"
2635,102450.png,"W_\pm^1=\mp 2\int (\xi^\pm+h_{\mp\mp}\xi^\mp)(\partial_\pm)^3 h_{\mp\mp}\ ,
"
2636,102451.png,"k = e^{-\varphi/2a}\, ,\hspace{1cm}a=-\sqrt{\frac{2(d-2)}{(d-3)}}\, .
"
2637,102452.png,"W = \hbox{tr}\left[(-1)^F e^{-\beta H}\right]. 
"
2638,102453.png,"K _1=-iet_1+\frac {1}{2L_1}\left (\frac {\vartheta'_1(\bar{t})}{\vartheta_1(\bar{t})} -\frac{\vartheta '_1(t)}{\vartheta_1(t)} \right ),
"
2639,102454.png,"{[}K, Q{]} = -Q, \quad {[}K, \overline{Q}{]} = \overline{Q}, \quad  {\{}\overline{Q}, Q {\}} = f(K)
"
2640,102455.png,"H_{ab \phi \psi} = \frac{1}{3}(\Gamma_{ab})_{\phi \psi}.% 
"
2641,102456.png,"\Pi_i=-\frac1{e^2}E_i-\frac{k'}{8\pi}\epsilon_{0ij}C^j
"
2642,102457.png,"L_0=\sum_{i=1}^{N} [{1 \over 2}(P_i{\dot Q}_i-Q_i{\dot P}_i)-{1 \over2}P_i^2+{e^{-(Q_{i+1}-Q_i)}}];
"
2643,102458.png,"G_\pm=\frac{1}{\sqrt 2}J^a_\pm \hat\chi_{\pm a}+\frac{i\sqrt 2 k}{3}f_{abc}\,\hat\chi^a_\pm\hat\chi^b_\pm \hat\chi^c_\pm\, .
"
2644,102459.png,"\int_0^\infty dx G (x) x^{s'/2 - 1} = 2 Z(s').
"
2645,10246.png,"u(\rho)=\left(C_1F\left(-\frac{e^2+1}{4},-\frac{1}{2},\rho^2\right)  +C_2\rho^3F\left(-\frac{e^2-5}{4},\frac{5}{2},\rho^2\right)\right)e^{-\frac{\rho^2}{2}}
"
2646,102460.png,"L_m=F_h\partial ^Mh\partial _Mh,\quad F_h=1/\left( 2F_H\right)
"
2647,102461.png,"\bar{\Phi}(z)= e^{i\theta \sigma^\mu \bar\theta\partial_\mu}(\varphi^*(x)+\bar{\theta} \bar{\psi}(x)+ \bar{\theta}^2 F^*(x))\,\,. 
"
2648,102462.png,"\Psi_{\Lambda}[A] = {\rm exp} (-{\textstyle{6 \over \Lambda}}\int \tilde{\eta}^{abc} Tr[A_a\partial_b A_c +{\textstyle 2 \over 3} A_a A_b A_c])
"
2649,102463.png,"C_{ab}=\mu_{ab}+\frac{2\pi}{e^2}\delta_{ab}\,\frac{1}{r_a}.
"
2650,102464.png,"\psi_{n_{k} , m_{k}} = e^{ -\frac{1}{2}\xi_{k}^{2}}L_{n_{k}}^{|m_{k} + k\alpha|}(\xi_{k}^{2})e^{im_{k}\phi_{k}}\xi_{k}^{|m_{k} + k\alpha|} ,
"
2651,102465.png,"g u (\phi) = u (\phi') h(\phi,g)\,, 
"
2652,102466.png,"[\: M_{\mu \nu }\: ,\: M_{\rho \sigma }\: ]=-4\: \eta _{\begin{array}{cc}[\mu  & \\ & [\rho \end{array}}M_{\begin{array}{cc}\nu ] & \\\bullet  & \sigma ]\end{array}}
"
2653,102467.png,"dx^i dx^j = - dx^j dx^i                                         
"
2654,102468.png,"X^{\pm} = (X^0 \pm X^{D-1})/\sqrt{2}.
"
2655,102469.png,"g_{n}\left( \omega _{a}\right) \,=\,c_{0}\left( n\right) \,\omega_{a}\,e^{-\sum_{j=1}^{J}\,c_{j}\left( n\right) \,\omega _{a}^{j}}.
"
2656,10247.png,"\langle y_\mu(\tau) y_\nu(\tau')\rangle=-\delta_{\mu\nu} G_B(\tau,\tau').
"
2657,102470.png,"H_c(\beta)= H_c^0 \sqrt{1- \beta^2}, \qquad H_{c2}(\beta) = \sqrt{2} \kappa H_c^0 ( 1- \beta),
"
2658,102471.png,"  \Pi^{\mu\;ab}_\mu = g^2 C_G \delta^{ab}\left(\frac{T^2}{3} - 10 k^2 I_0\right)
"
2659,102472.png,"ij = - ji = k \; \; \; \; (and \; \; cyclic) \; .
"
2660,102473.png,"D_\nu F_{\mu \nu }=(\partial _\nu f_{\mu \nu }^i)n_i.
"
2661,102474.png,"\gamma^0=\sigma_2=\left(\begin{array}{cc}0&-i\\i&0\\\end{array}\right)\hspace{1cm}\gamma^1=i\sigma_1=\left(\begin{array}{cc}0&i\\i&0\\\end{array}\right)
"
2662,102475.png,"\eta^\star_{(N=3)}=0.279\pm 0.004\,\,\,\,\,,\,\,\,\,\,\gamma=1.59\pm 0.10\,\,\,\,\,,\,\,\,\,\,
"
2663,102476.png,"[- \nabla^2 + \xi R]\varphi_N(x) = \sigma_N\varphi_N(x)
"
2664,102477.png,"a_l(1) = ({N -1 \over 2},{N - 3 \over 2}, \dots, -{N-1 \over 2}, 0)
"
2665,102478.png,"[Q,\psi^{\dagger}]_{+} = i{ \sqrt 2}a^{\dagger}, \;\;\;\;\;\; [\bar{Q},\psi]_{+} = -i{ \sqrt 2}a
"
2666,102479.png,"A_n(x_1,\ldots ,x_n)=T_n(x_1,\ldots ,x_n)+A'_n, \quad A'_n=\sum_{P_2} \tilde{T}_{n_1}(X)T_{n-n_1}(Y,x_n).
"
2667,10248.png,"\mathcal{O}_{\bar{s}\bar{s}ss}^{\pm }(\underline{\theta })=\langle \,0\,|\,%\mathcal{O}^{\pm }(0)\,|\underline{p}\,\,\rangle _{\bar{s}\bar{s}%ss}^{in}=\int_{\mathcal{C}_{\underline{\theta }}}dz_{1}\int_{\mathcal{C}_{%\underline{\theta }}}dz_{2}\,h(\underline{\theta },{\underline{z}})\,p^{\pm}(\underline{\theta },{\underline{z}})\,\Psi _{\bar{s}\bar{s}ss}(\underline{%\theta },{\underline{z}})
"
2668,102480.png,"\left\{ Q_\alpha ,\bar{Q}_{\dot{\beta}}\right\} =\sigma _{\alpha \dot{\beta}}^\mu \,p_\mu v_{+}\,\,.  
"
2669,102481.png,"U = \mp\frac{2}{a}         \exp \left(  \frac{a}{2}u \right), \quad\quad  V =    \frac{2}{a}         \exp \left( -\frac{a}{2}v \right),                            
"
2670,102482.png,"\theta = \theta^{1}_{1} + \theta^{2}_{2}.
"
2671,102483.png,"{\cal{V}} = -\frac{TV^2}{8\pi^4\lambda} \frac{m}{N(N+m)}  + \frac{1}{2\pi^2}(\frac{1}{N}(B^0)^2 + \sum_k (B^k)^2)+\frac{1}{\pi^2}\sum_i \sum_{j>i} |X^{(ij)}|^2) +\frac{1}{\pi^2}\sum_i|X^i|^2  
"
2672,102484.png,"t = E { \int} {dr\, \Bigl(1 +{4M\over r} - {4q^2\over r^2}\Bigr)\left({E^2\Bigl(1 +{4M\over r} - {4q^2\over r^2}\Bigr)   -{L^2\over r^2} - m^2\sqrt{1 +{4M\over r} - {4q^2\over r^2}}}\right)^{-1/2} }\ .
"
2673,102485.png,"\frac{2}{3} \Sigma = \frac{Q^{2}}{\Sigma + \sqrt{3} M} +\frac{P^{2}}{\Sigma - \sqrt{3} M}, 
"
2674,102486.png,"T_{ij}=-\frac{1}{8\pi G} \left(K_{ij}-Kh_{ij}-\frac{n}{l}h_{ij}\right).
"
2675,102487.png,"E\left( x\right) =C_1e^{-x\xi _1}+C_2e^{x\xi _1}+C_3e^{-x\xi _2}+C_4e^{x\xi_2},  
"
2676,102488.png,"f(u) \simeq \frac{2}{5} u +f_{\infty}+(-\frac{1}{20}+\frac{M_a^2+M_{\tilde{a}}^2}{10}) \frac{1}{u}+\ldots\\[1mm]
"
2677,102489.png,"\partial_{0}(\partial_{x}g \cdot g^{-1})-\partial_{x}(\partial_{0}g\cdot g^{-1}) \\+ [\partial_{x}g \cdot g^{-1},\partial_{0}g \cdot g^{-1}] \equiv 0
"
2678,10249.png,"H^2(a) = 3 H_0^2 \Omega_{\rm NR} \frac{(1+\delta)^{8/3}}{a^6 \delta^{'2}}\int da \frac{a\delta' \delta}{(1+\delta)^{5/3}}
"
2679,102490.png,"[\Phi_n(x),\ \Phi_m^{\dagger}(y)]_{x^+=y^+}=-\frac{i}{4}\delta_{nm}\epsilon (x^--y^-).
"
2680,102491.png,"J_a^i = \epsilon_{ijk}\Phi^j_{a \oplus a_i}\Phi^k_{a \oplus a_i \oplus a_j},
"
2681,102492.png,"{\cal A }[\,\phi, \phi^\ast \,]\, = \, \Delta S + { i \over  \hbar}( S , M_1 ) \,=\,a_\alpha\,c^\alpha+\dots\,.
"
2682,102493.png,"Q_\mu = {1 \over {1 - B^* B}}   \mbox{Im} \left( B \partial_\mu B^* \right).
"
2683,102494.png,"Q_{EH}^{2}\leq \frac{G_{{}}M^{2}}{\epsilon }\;,  \nonumber
"
2684,102495.png,"M\equiv m_0-g^2\langle \bar\Psi\Psi\rangle = m_0-\frac{g^2_0}{2\sqrt{2}L}\sum_{k\in{\bf Z}+\frac{1}{2}}t^{(0)}(k,-k).
"
2685,102496.png,"{\cal L} = {\cal L}_{0}^{N=2} + \sum_{i} t_i \int \phi_{i}^{(2)}
"
2686,102497.png,"w^2 = \left[ \frac{h(v^2)}{v^{2}}\sqrt{T(v^2)} \right]_{+} \pm \frac{h(v^2)}{v^{2}}\sqrt{T(v^2)}
"
2687,102499.png,"\tau_i=\partial_i\chi +v\partial_ia-a\partial_iv,\;\tau^i=-f^2\epsilon^{ijk}\partial_j\omega_k/\sqrt{h},
"
2688,1025.png,"Q_{rr} = Q. + \ldots, \;\;\;\;\;\; \bar{Q}_{rr} = \bar{Q}. + \ldots,\;\;\;\;\;\;H_{rr} = H. + \ldots
"
2689,10250.png,"(d\Omega) \rightarrow (d^2\eta) 
"
2690,102500.png,"i(2\pi)^4 G(\xi \eta ;{\xi}' {\eta}') = \sum_{123}{\Delta_1}^{-1} {\Delta_2}^{-1} \int d{{\hat q}_{12}}'' M d{\sigma_{12}}''K({\hat q}_{12}, {{\hat q}_{12}}'') G({\xi_3}'' {\eta_3}'';{\xi_3}' {\eta_3}')
"
2691,102501.png,"H[{\hat\xi}] = \int_\Sigma d^{n-1}x\, {\hat\xi}^\mu{\cal H}_\mu +\hbox{\em boundary terms} ,
"
2692,102502.png,"J^2\  =\ x \partial_x\ -\ {n \over 3} \ ,\ J^3\  =\ y \partial_y\ -\ {n\over {3r}} \ ,
"
2693,102503.png,"\tilde\varphi_j\equiv L\lambda_j+\sum_{k=1\atop{k\ne j}}^{N+1}i\ln\left(\frac{\lambda_j-\lambda_k+ic}{\lambda_j-\lambda_k-ic}\right).
"
2694,102504.png,"  R_{(1)}^{\rm near}(r) = C_{\rm in} e^{-i \frac{\omega \ell^2}{2 r_{H}} \ln\left(\frac{r^2 -  r_{H}^2}{r^2}\right)} + C_{\rm out} e^{i \frac{\omega \ell^2}{2 r_{H}} \ln\left(\frac{r^2 - r_{H}^2}{r^2}\right)}.
"
2695,102505.png," \stackrel{\wedge }{h} \left( x + \frac{2\pi}{\omega}\, ,\cosh\frac{i}{2}\frac{d}{dx}  \right) = \stackrel{\wedge }{h} \left( x \, ,\cosh\frac{i}{2}\frac{d}{dx}  \right)
"
2696,102506.png,"%K_{ij}(x)=\left(x+\frac{i}{2}(\rho^{+}\rho+1)\right)\delta_{ij}+i\vec\sigma_{ij}\rho^{+}\frac{\vec\sigma}{2}\rho
"
2697,102507.png,"\det_{i,j} z_{ij} = 0\ ,\qquad z_{ij} ={1\over \sqrt{2}}\sum_n \sigma^n_{ij} z_n
"
2698,102508.png,"[X_{\alpha},X_{\beta}]=c_{\alpha \beta}^{\gamma}X_{\gamma},
"
2699,102509.png,"M^a_{0c}M^c_{0b}=(M_0^2)^a_b=\left(\begin{array}{cc}-\frac{\alpha'}{2}[A_{\mu},A_{\nu}]\psi^{\mu}\psi^{\nu} +\overline{T}T &-i\sqrt{\alpha'}(\overline{T}A'_{\mu}-A_{\mu}\overline{T})\psi^{\mu} \\-i\sqrt{\alpha'}(TA_{\mu}-A'_{\mu}T)\psi^{\mu} & -\frac{\alpha'}{2}[A_{\mu}',A'_{\nu}]\psi^{\mu}\psi^{\nu}+T\overline{T} \\\end{array}\right) \ .
"
2700,10251.png,"\{ F\,,\,G\,\}^a\,\equiv \,{\partial^r F\over \partial \phi^A} {\partial^l G \over \partial \phi_A^{\ast\,a}}\,+\,{\partial^r F\over \partial {\bar \phi}^A} {\partial^l G \over \partial \pi_A^a\,}\,-\, {\partial^r F \over \partial \phi_A^{\ast\,a}}\,{\partial^l G\over \partial \phi^A}\,-\,{\partial^r F \over \partial \pi_A^a\,}{\partial^l G\over \partial {\bar \phi}^A}
"
2701,102510.png,"\delta^{ab}\,(1+\Pi_{2}(0)) = {1\over6im}\epsilon_{\mu\nu\lambda}\left.{\partial\over \partial p_{\lambda}}\Pi^{\mu\nu,ab}(p)\right|_{p=0}
"
2702,102511.png,"+ h^{'} ( 2 f_1 \cos 2 \theta + 2 f_2 \sin 2 \theta) + h^{'} ( 2f_1 \sin 2 \theta + 2 f_2 \cos 2 \theta)
"
2703,102512.png,"f_{\pm}^{1/2} (\theta, \phi)        =         v \, e^{i (1 \pm 1) \phi /2} \sin ( \theta/2 ),        
"
2704,102514.png,"  \langle \vec q\,',t=0\mid \vec q,0 \rangle = \delta (\vec q\,'-\vec q).
"
2705,102515.png,"4(n-3+2q-2r)(p+1)-8(r+1)(n-1)+(p+n)^2a^2_p>0.
"
2706,102516.png,"\Gamma^{\,\cdot\,\cdot\,i\,j}_{\sigma\sigma\pi\pi}(x_1,x_2,x_3,x_4) = G(x_1,x_2,x_3,x_4)\delta^{ij}\,,
"
2707,102517.png,"\Phi= \phi+i\theta\psi+i\bar{\theta}\bar{\psi}+i\theta\bar{\theta}F,~~~  D=\partial_\theta+\theta\partial_z,~~~  \bar{D}=\partial_{\bar{\theta}}+\bar{\theta}\partial_{\bar{z}}.
"
2708,102518.png,"{\cal L}^{\prime}=\bar{\psi}\gamma^{\mu}  \left[ i\partial_\mu +e{\cal A}_\mu \right]\psi   -\frac{1}{2G}{\cal A}_\mu {\cal A}^\mu    -\frac{\kappa}{2}\epsilon_{\mu \nu \rho}{\cal A}^{\mu}      \partial^{\nu}{\cal A}^{\rho},
"
2709,102519.png,"U_A(1): \qquad W^{\alpha}_a \rightarrow W^{\alpha}_a, \qquad Q\rightarrow e^{i \alpha} Q, \qquad  \tilde{Q}\rightarrow e^{i \alpha} \tilde{Q} \ .
"
2710,10252.png,"S=-T_3V_3 \int d\tau H_0^{-1}[\sqrt{1-H_0\dot{y}_i^2}-1],
"
2711,102520.png,"F(g^ 2) = \frac 1 {1 -r^{(1)}_\eta g^2}\ .
"
2712,102521.png,"ds^2=d\sigma^2+b(\sigma)^2\left(d\psi^2+\sin^2 \psi d\Omega_2^2 \right),
"
2713,102522.png,"E(a_0,a_1,\beta)=  \frac{2\pi B}{\beta^2}(2a_+-1)-\frac{1}{2} B+1\equiv 2a_+\left(1-\frac{B}{ 2}\right)= (a_0+a_1)\left(1-\frac{B}{ 2}\right),
"
2714,102523.png,"\begin{array}{ll}y_0=1 & y_4= ibx_1 \\y_1=-(J_1^2 + J_2^2 + \frac{1}{4} + 2 \alpha /x_3^2) &y_5=ibx_2 \\y_2= -2J_3 & y_6= - \frac{1}{2}ib \{ x_3, J_1 \} \\y_3=b^2x_3^2 & y_7=-\frac{1}{2}ib \{ x_3, J_2 \} \quad ,\end{array}
"
2715,102524.png,"\partial_0 \left(x_0^{-(d-5)} \partial_0 K_\infty(x_0)\right) = 0,
"
2716,102525.png,"\frac{\ddot T_k }{1-\dot T^2}+ \frac{2\dot T \ddot T}{(1-\dot T^2)^2}\dot T_k+\left[ k^2+(\log V)_{,TT} \right]T_k = 0\ .
"
2717,102526.png,"R_{l}(r)  \stackrel{(r \rightarrow 0 )}{\sim} C^{(+)}_{l}\,r^{ \alpha_{+,l} }\; ,
"
2718,102527.png,"\delta\left(\omega - \left|\langle\vec\Omega[\tilde x^\mu]\rangle\right|\right) \,.
"
2719,102528.png,"\frac{\stackrel{..}{a}}{a}=-\frac{4\pi G}{3c^2}(\rho c^2+3p),
"
2720,102529.png,"[\mathsf{L}_1 , \mathsf{u}_2 ] = -i\hbar \mathsf{\mathcal{C}}_{12}\mathsf{u}_2, \qquad [\mathsf{R}_1 , \mathsf{v}_2 ] = i\hbar\mathsf{v}_2 \mathsf{\mathcal{C}}_{12} 
"
2721,10253.png,"E=(2\pi K_F \ell)^{1/2}[1+O(\frac{M}{(K_F\ell )^{1/2}})];
"
2722,102530.png,"E_{\chi} \equiv \sum_{{\vec k}^{~2}>{\vec k}_c^{~2}}{\omega}_k(t) {\cal N}^{nt}({\vec k},t),
"
2723,102531.png,"\int_{\tilde{s}}^{s_1} \frac{g(s)}{f(s)} \left(\sqrt{f^2(s) - f^2( 0 )} - \sqrt{f^2(s) - f^2(s_0)}\right) ds
"
2724,102532.png,"x^{\mu}( s)=\frac{m}{M^2}\,p^{\mu} s+\frac{\alpha^{\mu}} {\omega}\,\cos\omega s+\frac{\beta^{\mu}}{\omega}\,\sin \omega s.  
"
2725,102533.png,"Q = \int_V \cdots\int_V d^d {\bf r}_1 \cdots d^d {\bf r}_{2N}\exp[{\tilde t} \sum_{i < j} q_i q_j \ln(r_{ij})]
"
2726,102534.png,"{\cal E} \geq \sqrt{{Q_{_{E}}}^2 + {Q_{_{M}}}^2} .
"
2727,102535.png," Z_{\delta, \vec{k}} = \lim_{{N \to \infty} \atop {\forall \Theta_n \rightarrow0}} \left( \frac{N}{2} \right)^{1- \delta} t_{\delta, \vec{k}}.
"
2728,102536.png,"ds^2 = {1 \over 4q^2} \left(q {d \over dq}\right)^2 K\, dq^2 + \left(q {d \over dq}\right) K\, \left[{2 \over 3} d\hat{z_i} d\hat{\bar{z_i}} - {2 \over 9} | \hat{z_i} d\hat{\bar{z_i}}|^2 \right] + {4 \over 9} \left(q^2 {d^2 \over dq^2}\right) K \,  | \hat{z_i} d\hat{\bar{z_i}}|^2  .
"
2729,102537.png,"\partial_{t}(v-\langle v \rangle)+v\partial_{x}v - \frac{ {\Delta u}^2+{\Delta v}^2 }{{\Delta q}^2}(x-\langle q \rangle) +\frac{1}{2} \partial_{x}\bigg( u^2+\frac{\hbar}{m}\partial_{x} u\bigg)\,=\,0  \:.
"
2730,102538.png," S_{\rm {\small int}}={1\over 2} \int_\Sigma d^{D-1} x ~T_{\mu\nu} {\widetilde h}^{\mu\nu}~.
"
2731,102539.png,"\frac{H_{QM}[\rho,\Pi]}{N^2}~=~\frac{\gamma}{8}\int d\theta \left\{\rho(\theta) \left(\frac{\partial }{\partial\theta}\frac{\delta~S}{\delta\rho(\theta)}\right)^2+\frac{\pi^2}{3}\rho^3(\theta)\right\}+\frac{1}{N^2}V[\rho] ~=~\frac{E}{N^2} \; .
"
2732,10254.png,"\lambda_T^2-27\ln (T/\mu)\lambda_T+27k/8\pi=O(\Lambda^2/T^2)\approx 0,
"
2733,102540.png,"\gamma^\pm = {1\over \sqrt{2}} (\gamma^0 \pm \gamma^1),\,\,\,\,\,\,\,\, D_\pm =  {1\over \sqrt{2}} (D_0 \pm D_1).
"
2734,102541.png,"S_{\alpha\beta}(x,y)=({\mathcal D}_0 ^{-1})_{\alpha\beta}(x,y)-({\mathcal D}_0 ^{-1}{\mathcal V}{\mathcal D}_0 ^{-1})_{\alpha\beta}(x,y) + ...
"
2735,102542.png,"\Phi(z)=S_{24}(z)z^{R_{24}},
"
2736,102543.png,"ds^2=\frac{dx^2}{l^2x^2}+\frac 1{x^2}\gamma _{ij}dx^idx^j,  
"
2737,102545.png,"\epsilon = \sum_{i=1}^9 \left(1 - x^i \Omega_i \right) \chi, \hspace{3mm}\chi \equiv \pmatrix{\chi_{+} \cr\chi_{-} \cr}
"
2738,102546.png,"\lambda _s = -\frac{2 \, a}{D-2p-4} \quad ; \quad \lambda _d = -\frac{a}{D-p-3}
"
2739,102547.png,"S_{k}=S_{k-1}\left(1-\frac{(k-1)_{q}}{(k)_{q}}e_{k-1}\right)S_{k-1}\;,
"
2740,102548.png,"I_{\epsilon}(z) \> =\>  \sum_{n=0}^{\infty} f^{(n)}(0) \, \frac{z^{n+1}}{(n+1)!}\> \Gamma \left [ 1 + (n+1) \epsilon \right ] \, \cos \left [ (n+1) \epsilon \frac{\pi}{2} \right ] \;\;\;.
"
2741,102549.png,"\tilde{\chi}_s^{''} - \frac{1}{r} \tilde{\chi}_s^{'}- m_{eff}^2 \tilde{\chi}_s =0.
"
2742,10255.png,"\sum_{n=1}^{\infty}\frac{\cos nx}{n^{2}+a^{2}}=-\frac{1}{2a^{2}}+\frac{\pi}{2a}\frac{\cosh a(\pi-x)}{\sinh \pi a}
"
2743,102550.png,"e_0^2 =e^2 \mu^{\epsilon} (1+E)/Z_\phi Z_A 
"
2744,102551.png,"A^{\mu\nu}_{(a)}=iP^{\alpha,\lambda\kappa}iP^{\gamma\delta,\rho\sigma}i\int {d^4\ell\over(2\pi)^4}{\tau_{\alpha\beta}(p,p'-\ell) \tau_{\gamma\delta}(p'-\ell,p')\tau^{\mu\nu}_{\rho\sigma,\lambda\kappa}(\ell,q)\over \ell^2(\ell-q)^2((\ell-p')^2-m^2)}
"
2745,102553.png,"H(i(z_{12}))=\left(\frac{\det L_{1}}{\det L_{2}}\right)^{\frac{\eta_{1}-\eta_{2}}{4}}L_{2}H(i(z^{\prime}_{12}))L^{-1}_{2}
"
2746,102554.png,"m<\omega< \frac{eQ}{r_+}~.
"
2747,102555.png,"S_p={1\over{2\kappa^2_D}}\int d^Dx\sqrt{-G}\left[{\cal R}-{4\over{D-2}}(\partial\phi)^2-{1\over{2\cdot(p+2)!}}e^{2a_p\phi}F^2_{p+2}\right],
"
2748,102556.png,"\vec{L} = -i\vec{k}\wedge\vec{\nabla},\quad \vec{K} = i\omega(k) \vec{\nabla},
"
2749,102557.png,"Q={1\over 2\pi}\int ~dx~(J_R-J_L)={1\over 2\pi}\int ~dx ~\partial_x\Phi
"
2750,102558.png," \sigma m\ge 0,\hskip 2cm \nu m\le 2(\nu s_\Phi-s).
"
2751,102559.png,"t_0=0.216046,\hspace{5mm}t_1=-0.343268,\hspace{5mm}t_2=-0.0978441,
"
2752,10256.png,"\partial_+ (\beta^{-1} \partial_- \beta) = - (\beta^t \beta)^{-1}.
"
2753,102560.png,"({\rm ad}e_i)^{1-K_{ij}}(e_j)=0,~({\rm ad}f_i)^{1-K_{ij}}(f_j)=0
"
2754,102561.png,"{\cal D}^{\alpha +}\Phi(x,\theta)=0 \, .
"
2755,102562.png,"L_{1}^{\left( 0\right) }\,=\,-\frac{a}{2}A_{\mu }^{\left( 0\right) }\,A^{\mu\left( 0\right) }\,+\,\frac{b}{2}\left( F_{\mu \nu }^{\left( 0\right)}\right) ^{2}\,+\,\theta \,\epsilon ^{\mu \nu \rho }\,\,A_{\mu }^{\left(0\right) }\,\partial _{\nu }\,A_{\rho }^{\left( 0\right) }.  
"
2756,102563.png,"[\hat{x}_{1}^{\prime},\hat{x}_{2}^{\prime}]=i\alpha^{2}, \hspace{0.4cm}[\hat{p}_{1}^{\prime},\hat{p}_{2}^{\prime}]=i\alpha^{-2}, \hspace{0.4cm}[\hat{x}_{i}^{\prime},\hat{p}_{j}^{\prime}]=i\delta_{ij}
"
2757,102564.png,"[a_{ijk},\dots ,a_{j-1,jk},\tilde{a}_{j,j+1,k},\dots,\tilde{a}_{j,k-1,k},\alpha_{jk,k+1},\dots ,\alpha_{jk,n-1}] = 1
"
2758,102565.png,"F(m_{1},m_{2},\alpha,\beta)=\frac{L\tan t}{m_{2}}|\beta-m\alpha|^{2}.
"
2759,102566.png,"<<\int d^{4}x\left\{ J_{\mu }^{\alpha }(x)D^{\alpha \gamma }_{\mu }-i\varepsilon \Delta O^{\gamma }[A]\right\} \theta ^{\gamma }(x)>>\; =\; 0
"
2760,102567.png,"p_i=\frac{\partial L}{\partial \dot{q}^i}\ .
"
2761,102568.png,"Z_{\lambda }^{(n)}=\frac{1+B^{(n)}}{(Z_{\phi }^{(n)})^{3/2}}
"
2762,102569.png,"x_\pm = \pm \frac {m\,(2\,\sqrt{1 + \sqrt{9 - \frac {8\,b\,q^{2}}{m^{2}}}} \mp (1 + \sqrt{9-\frac {8\,b\,q^{2}}{m^{2}}}))}{4\,q^{2}\,A}
"
2763,10257.png,"\frac{dI_{\epsilon}}{dR}(R_{0}^{+})-\frac{dI_{\epsilon}}{dR}(R_{0}^{-})= -\frac{16\pi}{R_{0}}
"
2764,102570.png,"N_{ij}=\delta _{ij}-2(K_{\mathbf{g}}^{-1})_{ij}~,  
"
2765,102571.png,"e^{\mu }_{{ f}} \partial _{\mu }\theta ^{\beta } v^{{ b}}_{\beta }\left(\Gamma ^{\{{ f\}}}C^{-{ 1}}\right)_{{ bc}}\left(\delta ^{{ c}}_{{ a}}\pm (\Gamma ^\prime )^{{ c}}_{{ a}} \right) = 0
"
2766,102572.png,"\sigma'(t)={d\over dt}e^{\Phi(t)}=\int_0^1 e^{(1-u)\Phi(t)} {d \Phi(t)\over dt} e^{u\Phi(t)} du \ .
"
2767,102573.png,"{\it L}_{gh} = \overline c^\mu \biggl(g_{\mu \nu } \nabla^2 + R_{\mu \nu } - \frac{2 \xi\varphi}{\alpha(\varphi)} (\nabla_\nu\varphi) \nabla_\mu - \frac{2 \xi\varphi}{\alpha(\varphi)}(\nabla_\mu \nabla_\nu \varphi) \biggr) c^\nu
"
2768,102574.png,"\frac d{ds}\left. Ad\left( \exp sY\right) X\right|_{s=0}=ad\left( Y\right) X=\left[ Y,X\right] \quad ,
"
2769,102575.png,"T^{\mu}_{\mu} =0 \hspace{1cm} \mbox{and} \hspace{1cm} T^{\alpha}_{\nu}T^{\mu}_{\alpha} = \frac{1}{4} (T^{\alpha \beta} T_{\alpha \beta}) \delta^{\mu}_{\nu}
"
2770,102577.png,"\delta(\bar\psi\Gamma^\mu\theta)=-{\omega^\mu}_\nu(\bar\psi\Gamma^\mu\theta).
"
